checkpoint,position,is_home,formation,cumul_sprints,cumul_hsr,cumul_distance,cumul_mean_max_speed,cumul_peak_speed,cumul_shots,cumul_shots_on_target,cumul_shots_under_press,cumul_shots_top_third,scored_after,cumul_in_game_time,cumul_received_succ,cumul_received_unsucc,cumul_times_pressured,cumul_pressured_succ,cumul_pressured_unsucc,cumul_pressured_success_rate,cumul_pressures_applied,cumul_pressures_won,cumul_pressures_lost,cumul_pressure_success_rate
H1_30,M,False,4-2-3-1,6,15,237.93,6.881,8.93,0,0,0,0,1,29,18,0,10,6,4,0.6,7,4,3,0.5714285714285714
H1_45,M,False,4-2-3-1,7,20,332.77,6.856,8.93,1,1,0,1,0,44,26,0,17,11,6,0.6470588235294118,9,5,4,0.5555555555555556
H2_15,M,False,4-2-3-1,9,27,474.48,6.854,8.93,2,1,1,2,0,59,32,0,20,13,7,0.65,13,7,6,0.5384615384615384
H2_30,M,False,4-2-3-1,10,34,584.75,6.795,8.93,2,1,1,2,0,74,44,1,27,19,8,0.7037037037037037,0,0,0,0.0
H1_15,M,False,4-2-3-1,3,15,256.13,6.524,7.79,0,0,0,0,0,14,5,3,8,7,1,0.875,3,2,1,0.6666666666666666
H1_30,M,False,4-2-3-1,3,26,421.12,6.39,7.79,0,0,0,0,0,29,16,3,16,13,3,0.8125,6,2,4,0.3333333333333333
H1_45,M,False,4-2-3-1,3,34,560.19,6.383,7.79,1,1,1,1,0,44,22,3,22,16,6,0.7272727272727273,9,4,5,0.4444444444444444
H2_15,M,False,4-2-3-1,7,44,810.12,6.519,8.78,1,1,1,1,0,59,32,3,26,20,6,0.7692307692307693,12,5,7,0.4166666666666667
H2_30,M,False,4-2-3-1,7,50,887.59,6.473,8.78,1,1,1,1,0,74,44,3,31,24,7,0.7741935483870968,14,5,9,0.35714285714285715
H2_30,M,False,4-2-3-1,1,3,33.3,6.582,7.89,1,0,1,1,0,6,3,0,3,0,3,0.0,0,0,0,0.0
H1_15,G,True,4-3-3,0,0,0.0,0.0,0.0,0,0,0,0,0,14,1,0,0,0,0,0.0,0,0,0,0.0
H1_30,G,True,4-3-3,0,1,170.9,6.0,6.0,0,0,0,0,0,29,0,0,0,0,0,0.0,0,0,0,0.0
H1_45,G,True,4-3-3,0,1,170.9,6.0,6.0,0,0,0,0,0,44,0,0,0,0,0,0.0,0,0,0,0.0
