feature,mean_abs_shap,shap_std,perm_delta_prauc,max_abs_corr,cluster_id,cluster_reason,cluster_size,duplicate_flag,vif,instability,weak_shap,weak_perm,weak_corr,weak_vif,weak_instability,weakness_score,stage
last_15_pressure_success_rate,0.014631836900395302,0.014664921529226606,0.0023151865097752952,0.0,,,1,0,2.8754963255560617,1.002261139804696,0.8411152719634598,0.8938905014099903,0.0,0.032238960119147994,0.5042651845712072,0.61884667155157,B
last_15_received_unsucc,0.026404174788858138,0.03110154124366737,-0.0006135586200457233,0.0,,,1,0,1.9626189421479774,1.1779024147647816,0.7091555155140324,0.9391190701155756,0.0,0.018818227471455094,0.6517512805416606,0.6084952799959727,B
sprint_distance_share,0.004177767204448554,0.002440145930322487,0.004364760297112642,0.0,,,1,0,2.5164806290156814,0.5840789615381584,0.9582981547563866,0.8622389630381898,0.0,0.02738166219679217,0.15311732999677555,0.6073229827096392,B
last_15_pressured_success_rate,0.004408167584891785,0.002755577895271485,0.0076497755388213184,0.0,,,1,0,2.827129068300937,0.6251073359179312,0.9557155260230624,0.8115085201445142,0.0,0.03161145327253612,0.18756888338399608,0.5926606735231519,B
cumul_received_succ,0.006970609772774994,0.003858339347061751,0.005950362935960983,0.0,,,1,0,4.785894388323422,0.553515326898833,0.9269923233565649,0.8377525244059241,0.0,0.05226258779731483,0.12745302556351631,0.589282641885126,B
last15_mean_max_speed,0.010081789029050202,0.005742046741244457,0.007182892911479832,0.0,,,1,0,3.3231174434558435,0.5695464093425302,0.8921181581042291,0.8187185818098832,0.0,0.03770033888778648,0.14091433620555466,0.5720484185740619,B
possessions_with_2plus_runs,0.010536162915773712,0.006426912556048743,0.008158963914035797,0.0,,,1,0,3.340872714428325,0.6099860648915175,0.8870249414469179,0.8036451314262612,0.0,0.03790512949763694,0.1748715419971057,0.568660945582741,B
cumul_shots_set_play,0.0018955332391462697,0.0010230296852039627,0.012349020806911512,0.0,,,1,0,2.7066571561266497,0.539705484491913,0.9838804172666265,0.738938143395752,0.0,0.03001333245198569,0.11585689166488293,0.5683794977801879,B
cumul_bottom_run_share,0.009306990382712068,0.00736973613616143,0.012770801132028789,0.0,,,1,0,2.3319806991181795,0.7918495488993812,0.9008031144516276,0.7324245959316895,0.0,0.024688835678518272,0.3275824310634723,0.5618166695857787,B
cumul_mean_max_speed,0.016483067048523353,0.02067133401937561,0.016898393035096534,0.0,,,1,0,8.553181365627204,1.2540951243189578,0.820364263812545,0.6686822538358699,0.0,0.07731784234617675,0.7157303496762351,0.5594528871885591,B
possessions_with_sprint_and_hsr,0.005423428431035677,0.002755093623424341,0.012324283607795784,0.0,,,1,0,3.3446747907218333,0.5079985213150897,0.9443351549141865,0.7393201596041264,0.0,0.037948874025341854,0.08923253349456507,0.554780743087691,B
distance_per_run,0.0207147148050022,0.02676924567363124,0.015465004595728339,0.0,,,1,0,4.0994558301459865,1.2922816425726023,0.7729304224961174,0.69081805078578,0.0,0.04595249107765719,0.7477955945750457,0.5530402530891284,B
cumul_bottom_sprint_share,0.025413446829413926,0.029762129786903967,0.011325860378307448,0.0,,,1,0,2.1587559509458947,1.1711174004329397,0.7202608899498122,0.7547387951051696,0.0,0.02202124514703685,0.646053899472579,0.5470443597337146,B
cumul_pressure_success_rate,0.014602821031463617,0.014894642802592551,0.016250877701058396,0.0,,,1,0,3.004924760655239,1.019983931221246,0.8414405197633166,0.678681823779757,0.0,0.033880378935023145,0.519147024368371,0.5452735345822494,B
cumul_distance,0.01370990080030544,0.011175747889122872,0.014618794212354631,0.0,,,1,0,1.9428981875707618,0.8151589170414631,0.8514495372880238,0.7038860655044716,0.0,0.01848451895823626,0.3471553230707466,0.5383589683158705,B
last_15_shots_special,0.0010680464257791956,0.0004290678358744263,0.017798615756530946,0.0,,,1,0,1.9982711050062598,0.40173144679679906,0.9931559714846248,0.654780127361241,0.0,0.019415923026760325,0.0,0.5290614283244978,B
cumul_top_run_share,0.026172387109859252,0.023026204728163305,0.014807883378428359,0.0,,,1,0,3.8932117211222517,0.8797900104224439,0.7117536949035865,0.7009659642460292,0.0,0.043889668527281156,0.4014260953777049,0.5033957723476847,B
cumul_unique_run_possessions,0.02542708162318938,0.021857599048080927,0.016354523152052027,0.0,,,1,0,4.897334911939687,0.8596188651137573,0.720108053352452,0.6770812285782302,0.0,0.05321580855722235,0.3844883711810036,0.4967812639819387,B
cumul_in_game_time,0.01832791652520387,0.013879223244398211,0.019286328752260204,0.0,,,1,0,5.26576667854234,0.7572722859858085,0.7996847785705187,0.6318053970726942,0.0,0.056243737587395475,0.29854788028589635,0.49651648433392775,B
formation,0.03805858712521304,0.030517698518934776,0.012153160951370395,0.0,,,1,0,1.1366034524274429,0.8018610469834657,0.578517622850946,0.7419628043137707,0.0,0.0024866969699775614,0.33598909269567034,0.4670898473316683,B
cumul_shots_special,0.018946467183868013,0.017438521621182607,0.030412720844458507,0.0,,,1,0,2.190588285933573,0.9204101984791473,0.7927512539773326,0.45998068482194776,0.0,0.022522251621900604,0.4355348944366406,0.44462433048673555,B
