,checkpoint,checkpoint_min,position,is_home,formation,last15_distance,last15_mean_max_speed,last15_shots,cumul_distance,cumul_mean_max_speed,cumul_peak_speed,cumul_in_game_time,last_15_received_succ,last_15_received_unsucc,cumul_received_succ,cumul_received_unsucc,last_15_pressured_succ,last_15_pressured_unsucc,cumul_times_pressured,cumul_pressured_succ,last_15_pressured_success_rate,cumul_pressured_success_rate,last_15_pressures_applied,last_15_pressures_won,cumul_pressures_applied,cumul_pressures_won,cumul_pressures_lost,last_15_pressure_success_rate,cumul_pressure_success_rate,last15_bottom_sprint_count,top_sprint_distance,possessions_with_2plus_runs,possessions_with_sprint_and_hsr,cumul_unique_run_possessions,cumul_top_run_share,cumul_bottom_run_share,cumul_bottom_sprint_share,last15_top_run_share,last15_top_sprint_share,distance_per_run,distance_per_possession,top_distance_share,sprint_distance_share,avg_top_sprint_distance,share_of_possessions_with_top_run,last_15_shots_total,last_15_shots_special,last_15_shots_set_play,last_15_shots_blocked,last_15_shots_under_pressure,cumul_shots_total,cumul_shots_special,cumul_shots_set_play,cumul_shots_blocked,cumul_shots_under_pressure,last_15_shots_under_pressure_rate,cumul_shots_under_pressure_rate
cumul_peak_speed,0.2428338927287597,0.10126544298334239,-0.11080602185955961,-0.02055843193024881,-0.033089205856086684,0.34180825222227484,0.5032030514233209,0.10029429603044512,0.5345735114820365,0.6288257359233969,1.0,0.3430892736855996,0.08918160503221777,-0.03583463740876456,0.2908602570680231,0.10031662890745925,0.10346630008437997,0.1706319190754178,0.4332865329428075,0.36978305116446974,0.0644079311333702,0.052713901412642976,0.19693339164171403,0.1542333560598716,0.44391860933050303,0.4158710494075746,0.39594414811848716,0.1354544213499837,0.180872771770088,0.1932674399000034,0.28959352651255793,0.2904326407930306,0.4079486988980857,0.41987396179726316,0.23952965179792948,0.08230513971884906,0.21504845933127192,0.19966417852980042,0.24878535106003874,0.28066307434962473,0.32479402805530994,0.20761783409058107,0.5045203534562107,0.2917161932968551,0.2103534605692301,0.09976949200822896,0.0424482200764826,0.04333079697294378,0.05689131941106846,0.07956201442947013,0.2325271115336426,0.11641848538804503,0.08461073048425288,0.1543869129421302,0.20048711977267297,0.07820993227616158,0.19022943141245183
cumul_in_game_time,0.745901061776104,0.21553932333123343,-0.0014556455079026685,-0.012377660993093852,-0.011785561594561303,-0.08736858352016759,-0.03063525746906146,0.02287097778416683,0.6153658125690623,0.07087087825562827,0.3430892736855996,1.0,-0.010523909674915805,0.058782422536337975,0.5857935542915399,0.5004544745027212,-0.1404074403533816,-0.1112520878239879,0.5610905265145701,0.516847729291794,-0.06969784328513108,0.086481297175144,-0.1400877285723836,-0.06555408269647979,0.48123824561428197,0.5217848703447724,0.37310161955166987,0.011686854605562454,0.135681846732277,-0.05039907239381942,-0.06973272949709278,-0.08299594949854706,-0.07721224977335328,0.10763207842200566,-0.06499925958474803,0.1439655018016842,0.18671593855324795,-0.08643626022362817,-0.06243460932641568,-0.017457644512303333,-0.06708442067028272,-0.08236717071151278,-0.031128829524051042,-0.06811558449156493,-0.08055639588934863,0.017976424858106885,-0.004481793726942647,0.033835663490533546,-0.0027656996174074875,0.011102495038794926,0.24578899696125525,0.09265377411693722,0.16823758617234347,0.13976926860452943,0.21040600557693054,0.01065320843548558,0.19307575606509036
last_15_received_succ,-0.09124869377318502,-0.03570153445654245,0.048685203685796534,-0.020344560623970342,0.04485405479641191,0.19914691937740964,0.1187297671015585,0.1495589781470162,0.1585931542644371,-0.012284636624299298,0.08918160503221777,-0.010523909674915805,1.0,0.05129900647797179,0.654906045939576,0.05083125806481084,0.4948481190240934,0.26542152933682994,0.3577839707414366,0.4039484927614026,0.34270857618967415,0.2903992422680519,0.06657367313525181,0.1328544049083569,0.088857674331198,0.1629254497516835,0.03431025487616801,0.20905967082053442,0.31916853175449517,0.0926557333183812,0.06254081505752676,0.22492108913530706,0.1554737088886342,0.27454624193006805,0.18268596790400876,0.06480903900039346,0.11992580171397997,0.19849300898363276,0.07555226655951285,0.17871872632967017,0.19704085426172777,0.16596768339465748,0.1376914636961023,0.0650493317914065,0.18378668439556678,0.14686145657837857,0.029142201160432105,0.08140201537079712,0.0756787990984304,0.13644596471561993,0.12311296943142572,-0.004346907511297089,0.06940609738767708,0.04660781108047933,0.11081877799936293,0.13556480314669242,0.11136197254520151
last_15_received_unsucc,-0.009131125634633011,-0.04302844058702646,0.0001635173373298746,-0.0008608342504844042,0.07446910970132763,-0.07352518080120593,-0.0162002094884077,-0.08388950225787085,-0.03959601766084992,-0.019067194613912226,-0.03583463740876456,0.058782422536337975,0.05129900647797179,1.0,0.10782719265550224,0.6453179523905413,0.0018445942771918346,-0.005942668522361403,0.010732695278131504,0.038279689705641835,0.017817609681920893,0.07958356257175093,-0.026264649805436392,0.039914147483296865,-0.03138342834924986,0.0447342195320512,-0.08021851180717424,0.06310078663952812,0.14355950121008954,0.09086577818539027,-0.13343198572106515,-0.05158459041174042,-0.02573264888812694,0.008263726210746333,-0.195303718590594,0.22912116408442873,0.16476379700440913,-0.18186076129180037,-0.12425870109191837,-0.02759815689199861,-0.060318907612997026,-0.18786117023333374,-0.021712340498363687,-0.1270750945884773,-0.13670209095527477,-0.08472477467631152,-0.02112029047668187,-0.003087796329527679,-0.0831126019210193,-0.08347187870650485,-0.10124657854848788,-0.061099390042941494,-0.0059930005052690125,-0.0983167216994065,-0.11653153519159634,-0.08282422021377134,-0.11067228372795321
cumul_received_succ,0.40162550383717843,0.16425338607393608,0.021355048012350154,-0.03215595405648832,0.07246385459428528,0.09601154403342255,0.09235320462732366,0.1003486351378121,0.5479936717421142,0.01240168759936871,0.2908602570680231,0.5857935542915399,0.654906045939576,0.10782719265550224,1.0,0.3785447432619996,0.2520763266056887,0.09736857856614041,0.6854666378744898,0.7111326991877795,0.22389173123905637,0.32635402023480314,-0.019626892432774365,0.0788238230049807,0.40010023458420624,0.49261917381437953,0.2774525011986118,0.20311558643258254,0.41305378658623015,0.05886494740760556,-0.017635571921267947,0.12520778996609994,0.06875960038791053,0.35704626804517264,0.11745619438803563,0.18297444105395982,0.2634947654163319,0.0931366463294844,-0.0020509707001165026,0.1870844378762996,0.12225197968441101,0.07325895606994176,0.09613809796714795,-0.013162302786455894,0.09114032643136113,0.0944274639970057,-0.0035769160886889415,0.06840427086662816,0.04252338756147374,0.0806458206718424,0.24119576113600324,0.0381752458971739,0.1648781876054294,0.12291683142864095,0.21156275848124528,0.07994274666499758,0.20087957729067013
cumul_received_unsucc,0.34849271020043576,0.1034649879448568,0.0039751036834087825,-0.01491076070750855,0.06941009710045495,-0.16039830084639412,-0.04632189048204633,-0.08993745123088198,0.20205469246547966,0.0032175355733990918,0.10031662890745925,0.5004544745027212,0.05083125806481084,0.6453179523905413,0.3785447432619996,1.0,-0.09058915288461519,-0.11188810067482784,0.2395051682332949,0.26565209020403446,-0.02000878188087832,0.1289220590975622,-0.13689615569727284,-0.02526414536977083,0.14252576671696748,0.25557744598301224,0.03909706801995315,0.05623689487001814,0.220718276163443,0.0689438525676496,-0.19280342728168318,-0.12567155351000417,-0.10424241923578835,0.047115653940709365,-0.2631989436862991,0.32685663937919296,0.28613858882434867,-0.23469034655711624,-0.1783114058421604,-0.048286755981626225,-0.12589571314749057,-0.2320389269394865,-0.056084928547716496,-0.18407409146574286,-0.19893822304226585,-0.09296419133007722,-0.035705603220295305,0.034087320987051244,-0.0938863982306595,-0.08683739193421301,-0.03491600224354283,-0.02530485189912543,0.09558473608686555,-0.09814224657790259,-0.06332534272674797,-0.08634062840129425,-0.06427371979590678
last_15_pressured_succ,-0.22806338313360858,-0.015867660518199666,0.12090208208430064,-0.01108777791531345,0.03636493231881087,0.28092203159879675,0.11880586108294305,0.08115424172120844,0.13510176934836854,0.0005524105162444998,0.10346630008437997,-0.1404074403533816,0.4948481190240934,0.0018445942771918346,0.2520763266056887,-0.09058915288461519,1.0,0.33031335309425996,0.4278933017289153,0.5295149522829603,0.7571366395335226,0.4559483190390008,0.26592794432339406,0.24838888664482947,0.1875228081775951,0.1854972217751864,0.17354892611314715,0.21036810045984267,0.21422474436215153,0.09765833295487023,0.10767078964426947,0.33156964060699307,0.2137720030815234,0.29523149947733396,0.21826916441821378,-0.007994290284991573,0.05666679583301707,0.2035135563467205,0.09718498105597524,0.19399912307188305,0.2462447217879972,0.18908450729961968,0.14497608106412865,0.1112182848806968,0.2061317240007469,0.08249867222646132,0.003163593852088833,0.03212072843558135,0.04382697319328911,0.06748344760654006,0.08816607494217786,-0.01868107561277568,0.01768251570447642,0.04354176621745757,0.07020814744329534,0.06774836162719419,0.07111491589784866
last_15_pressured_unsucc,-0.161992363582575,0.0027414039423084464,0.021169513447326323,0.03836870051282498,0.014270597990844873,0.30424773336036065,0.17158449803141917,0.1488395787311902,0.17407247427790737,0.07700060286910505,0.1706319190754178,-0.1112520878239879,0.26542152933682994,-0.005942668522361403,0.09736857856614041,-0.11188810067482784,0.33031335309425996,1.0,0.4093790716585415,0.22904947600281855,-0.15798649737931042,-0.23775152948097525,0.3702899718991157,0.2781667202781943,0.2822743986046965,0.21479608136103984,0.3009772947278865,0.1760318181711046,0.0821149955021613,0.028489702770187655,0.24005123101914536,0.36600569157117263,0.2624514477856393,0.29225303844695427,0.33043327684764473,-0.1457386954556185,-0.05528395089204496,0.3114429404331959,0.23921146976869126,0.151229541203831,0.2477902776070527,0.30467427069266245,0.18824807486151063,0.2421505654229155,0.2735848066039695,0.15330807119061546,0.03999499653917767,0.012974861202764181,0.0885021519665662,0.15379084102975604,0.16009127006498383,0.04231567577036492,0.02258712859179222,0.14006992739485033,0.1657365683089047,0.15361613442202066,0.16231279556810138
cumul_times_pressured,0.3585822073940042,0.16715535593932382,0.0727470394702326,-0.0015259859198324763,0.04006562382607907,0.27387900868778997,0.1733776213118656,0.15514000534463337,0.7026202761890745,0.09004133263075563,0.4332865329428075,0.5610905265145701,0.3577839707414366,0.010732695278131504,0.6854666378744898,0.2395051682332949,0.4278933017289153,0.4093790716585415,1.0,0.9229492350595426,0.23256744160875062,0.21085232747338087,0.24978384461790562,0.2324866950254827,0.695243661712578,0.6811639016822325,0.6065230342074818,0.2350500880214559,0.3079490590688458,0.04393629488899391,0.15670228348533355,0.33552472168446973,0.23040345972518222,0.4575015952488476,0.29786751460752836,0.009361410327468187,0.15262516851779662,0.24954782274541615,0.15639753643672696,0.24499433145993899,0.2493846977168799,0.23812755641941163,0.19434472854075713,0.16056817324005396,0.23366488547739872,0.1524978665029174,0.0148094207546305,0.06690613025157896,0.07615552575668304,0.132637745921563,0.35432376454708053,0.09045810624533884,0.17588907163622833,0.22826434360345316,0.31224959493359544,0.13215880376464,0.29632967452609454
cumul_pressured_succ,0.3188686590816305,0.14985135026235535,0.12527313552623137,-0.03304742858105699,0.06369546646690333,0.2304726827306867,0.1481305494125463,0.1169800864925275,0.6280908449667637,0.05347620879305552,0.36978305116446974,0.516847729291794,0.4039484927614026,0.038279689705641835,0.7111326991877795,0.26565209020403446,0.5295149522829603,0.22904947600281855,0.9229492350595426,1.0,0.39710806641673313,0.5030580940983217,0.1802843546697594,0.20304109064360154,0.5861904799679737,0.6164860603718529,0.48322958229683405,0.23849539325076713,0.3579224923103146,0.0767623765915791,0.08202820979302668,0.2849363384483041,0.18667373978997187,0.42413677665678584,0.19854567838483134,0.09511655762576446,0.20508279282444708,0.16649065164889518,0.0792518223350868,0.23752356966621144,0.2178032563985145,0.1552047450819467,0.16386505215804537,0.08750417492567784,0.16784582082872843,0.1129877254784681,-0.0028562462280370677,0.06695102486492106,0.05547181893969189,0.09025731200421311,0.2779128475999616,0.04275476732311641,0.1672228997249544,0.16798960370626795,0.23215434244493352,0.08996820698377436,0.2179702037599442
last_15_pressured_success_rate,-0.1290164933553436,-0.026560869432038465,0.0600827872573913,-0.024044574097188666,0.01859976552577785,0.18444483397008132,0.08252828648703278,0.020690618788560038,0.11638449669711196,-0.01613171940414888,0.0644079311333702,-0.06969784328513108,0.34270857618967415,0.017817609681920893,0.22389173123905637,-0.02000878188087832,0.7571366395335226,-0.15798649737931042,0.23256744160875062,0.39710806641673313,1.0,0.6248208089301963,0.11865331711691239,0.13624771434769886,0.12135908446375238,0.14347940065946402,0.09071750763231214,0.15964744645844456,0.2221467350519419,0.0947089413815396,0.019135410142245866,0.2122763998743118,0.1254695456877027,0.24665509101272715,0.10473458413286443,0.07877646828681151,0.11008977595094419,0.09094266533383255,0.007142709379232088,0.16425852804566196,0.18010493168494845,0.08013815354161194,0.09163305821976674,0.019603750422922357,0.12857018016653055,0.020268275909332164,-0.0012575806515359833,0.04220550064708986,0.005394512716974485,-0.005698743009209303,0.042719175201590624,-0.0038012151186825115,0.02880867259966455,-0.00014782873007663236,0.012158429861216,-0.0056885874696816175,0.014190401725797674
cumul_pressured_success_rate,-0.005516998161457408,0.01119403875025151,0.09992167805568383,-0.05683213277037094,0.04221825562773863,0.07601160410039061,0.05281628377738728,-0.009018671631020736,0.11085554745173022,-0.02861713006259756,0.052713901412642976,0.086481297175144,0.2903992422680519,0.07958356257175093,0.32635402023480314,0.1289220590975622,0.4559483190390008,-0.23775152948097525,0.21085232747338087,0.5030580940983217,0.6248208089301963,1.0,0.0004884135131998899,0.06944623633818818,0.04765339129085523,0.1287842360998274,-0.015618890144065523,0.13441079103165837,0.2734864200720914,0.11637606969747318,-0.07466703873487956,0.08631996770724316,0.04354041954350563,0.2030920168039201,-0.06309339757369382,0.21108669119553536,0.2015171203554569,-0.053075736143717085,-0.07999034855525021,0.13201364307480457,0.09604824029998886,-0.0582925087037903,0.043569327070579554,-0.0697555118963793,-0.0012279428580445123,-0.012424373751408337,-0.02054138103555671,0.03494199102823719,-0.01357410433947343,-0.028533966848690463,-0.010248552166451246,-0.04859895347085411,0.04110354268955267,-0.03708838690222379,-0.03216116139430176,-0.028613399351468945,-0.032330988083221164
last_15_pressures_applied,-0.2137415796211797,-0.006949937150286258,0.052265679150780404,-0.00812870130540015,-0.008627526697010625,0.42845763227000866,0.18755626916582374,0.10737613976220206,0.26069266427754834,0.06376888387052937,0.19693339164171403,-0.1400877285723836,0.06657367313525181,-0.026264649805436392,-0.019626892432774365,-0.13689615569727284,0.26592794432339406,0.3702899718991157,0.24978384461790562,0.1802843546697594,0.11865331711691239,0.0004884135131998899,1.0,0.7550014225994781,0.6045740366375685,0.4553409676909513,0.6271430578416457,0.3949943941749426,0.10283136172514691,0.09796825493189266,0.23287880039728368,0.43755276966161616,0.33741523100653636,0.3896804001916597,0.36294156688597984,-0.09541744288553282,-0.001845860087422029,0.30704118994748736,0.2216038626683618,0.23931822734577887,0.3982643903519779,0.3043501635196135,0.230281185383487,0.22835784044975535,0.3557702639018912,0.11164575897690618,0.058044238783194056,0.0056512396266239955,0.059364690801613273,0.09624405490680975,0.1403953087146186,0.07261527819051669,0.008660379116164928,0.08813298488326024,0.1327239521081071,0.09718394017477246,0.1319700862002013
