iter	PRAUC:type=Classic;use_weights=false	Logloss	BrierScore:use_weights=false	Logloss:use_weights=true	Logloss:use_weights=false
169	0.1026571135	0.5622325977	0.1507703679	0.5622325977	0.4901750308
170	0.1022608573	0.561820573	0.1504146878	0.561820573	0.4894096948
171	0.102104787	0.5613082104	0.1500047158	0.5613082104	0.4885263198
172	0.1022178782	0.5607861292	0.1496112648	0.5607861292	0.487674621
173	0.1022412782	0.5603278281	0.1492423926	0.5603278281	0.4868766983
174	0.1022412782	0.5598591378	0.1488483253	0.5598591378	0.4860268616
175	0.1022178689	0.5594708296	0.148516786	0.5594708296	0.4853115833
176	0.1021623007	0.5590146247	0.1481323021	0.5590146247	0.4844810756
177	0.1021623007	0.5585550416	0.1477448533	0.5585550416	0.4836437682
178	0.1020016725	0.5580906429	0.1473719846	0.5580906429	0.4828352873
179	0.1024872011	0.5576881116	0.1470506668	0.5576881116	0.482138295
180	0.1024872011	0.5572372177	0.1466695814	0.5572372177	0.4813130192
181	0.1031629529	0.5567839411	0.1463080977	0.5567839411	0.480528704
182	0.1031629529	0.5563390064	0.1459313771	0.5563390064	0.4797116957
183	0.1031551639	0.5559185738	0.1456117101	0.5559185738	0.4790132613
184	0.1031073074	0.5555379195	0.1452955527	0.5555379195	0.4783252182
185	0.1030868823	0.5551064592	0.1449292426	0.5551064592	0.4775289726
186	0.102924998	0.5546798823	0.1445664213	0.5546798823	0.4767396973
187	0.1019909096	0.5544041985	0.1443391518	0.5544041985	0.4762438078
188	0.1026562398	0.5539548432	0.1439768897	0.5539548432	0.4754527207
189	0.1028893541	0.5535590421	0.1436423436	0.5535590421	0.4747224687
190	0.1028893541	0.5531354743	0.1432813114	0.5531354743	0.4739352357
191	0.1028893541	0.552714819	0.1429224133	0.552714819	0.4731520699
192	0.1023113829	0.5523196369	0.1425858415	0.5523196369	0.4724165979
193	0.1023113829	0.5519045813	0.1422310511	0.5519045813	0.4716412648
194	0.1023113829	0.5514923786	0.1418783546	0.5514923786	0.4708699283
195	0.1023060982	0.5512680762	0.1417089536	0.5512680762	0.4704974538
196	0.1015164314	0.5508969724	0.1413921802	0.5508969724	0.4698026347
197	0.1016545711	0.5505248368	0.1411277825	0.5505248368	0.4692178775
198	0.1018874184	0.550137859	0.1408180753	0.550137859	0.4685349972
199	0.1019340435	0.5496990136	0.1404668791	0.5496990136	0.4677623515
200	0.1017031665	0.5492917973	0.1401271096	0.5492917973	0.4670148928
201	0.1019600632	0.5490990579	0.1399942481	0.5490990579	0.4667215405
202	0.1019102299	0.5487213599	0.139683169	0.5487213599	0.4660346829
203	0.102196081	0.5483617457	0.1394104444	0.5483617457	0.465430975
