model_feature,coefficient,abs_coefficient
num__cumul_run_detail_top_share,-0.09750365913440669,0.09750365913440669
num__last15_pass_bottom_count,-0.09640939172291826,0.09640939172291826
num__last15_sprints,-0.09502489832008718,0.09502489832008718
num__cumul_shot_context_header_share_per15,0.09476992282899896,0.09476992282899896
num__last15_under_pressure_lateral_count,-0.09454855135808529,0.09454855135808529
num__cumul_run_detail_hsr_distance,-0.09422719314621486,0.09422719314621486
num__last15_applied_pressure_allowed_forward_count,-0.09185971147819447,0.09185971147819447
cat__formation_4-3-3,0.09162297356320603,0.09162297356320603
num__cumul_shots_per15,-0.091447274950154,0.091447274950154
num__last15_peak_speed,0.09034960198850227,0.09034960198850227
num__cumul_applied_pressure_unique_pressed_players,-0.0900568880155764,0.0900568880155764
num__cumul_shot_context_blocked_share_per15,-0.0887935204773639,0.0887935204773639
num__cumul_shot_context_under_pressure_count,-0.08150271027584216,0.08150271027584216
num__last15_shots_under_press,-0.08129109907648659,0.08129109907648659
cat__formation_5-2-3,-0.07825344798342113,0.07825344798342113
num__cumul_run_detail_top_share_per15,-0.07817575004314126,0.07817575004314126
num__last15_applied_pressure_induced_turnover_rate,0.07380004373959906,0.07380004373959906
num__trend_turnover_under_pressure,0.07296138352348608,0.07296138352348608
num__last15_under_pressure_unique_pressers,-0.07270955266583609,0.07270955266583609
num__last15_pass_top_count,-0.07017182364191721,0.07017182364191721
num__cumul_shots_under_press,-0.06860988513080515,0.06860988513080515
num__cumul_under_pressure_unique_pressers_per15,-0.06737271976467545,0.06737271976467545
num__last15_shot_context_count,-0.06666471200137655,0.06666471200137655
cat__position_M,-0.06415487348496664,0.06415487348496664
num__last15_shot_context_right_foot_count,-0.06370623739405941,0.06370623739405941
num__cumul_run_detail_sprint_share,-0.06347652538632917,0.06347652538632917
num__last15_under_pressure_top_share,-0.0634138070550667,0.0634138070550667
num__last15_pass_count,-0.06098778463340584,0.06098778463340584
num__cumul_pass_accuracy,0.06019898779248586,0.06019898779248586
num__cumul_under_pressure_turnover_rate,-0.05843829054245687,0.05843829054245687
num__cumul_run_detail_sprint_share_per15,0.05800432362410927,0.05800432362410927
num__last15_run_detail_sprint_share,-0.05639779409003908,0.05639779409003908
num__trend_top_pass_share,0.055482622297496266,0.055482622297496266
num__cumul_run_detail_hsr_distance_per15,-0.05526589268169331,0.05526589268169331
cat__checkpoint_H1_45,-0.050999669609474614,0.050999669609474614
num__last15_shots,-0.04827653609844991,0.04827653609844991
num__last15_under_pressure_carry_count,0.045971803542333135,0.045971803542333135
num__last15_under_pressure_top_count,-0.045029559966130915,0.045029559966130915
num__last15_shot_context_regular_count,-0.04440495120617588,0.04440495120617588
num__cumul_run_detail_top_sprint_count_per15,-0.04374409133656073,0.04374409133656073
num__cumul_under_pressure_forward_count_per15,-0.043559827648643815,0.043559827648643815
num__last15_under_pressure_backward_count,0.043164258441120915,0.043164258441120915
num__cumul_shot_context_blocked_count_per15,-0.04279941433080096,0.04279941433080096
num__last15_under_pressure_count,-0.04151235973913026,0.04151235973913026
num__cumul_shot_context_left_foot_count_per15,0.041399333548146816,0.041399333548146816
num__last15_distance,-0.041030132172056616,0.041030132172056616
num__last15_shot_context_penalty_count,-0.03980353287107972,0.03980353287107972
num__last15_under_pressure_accurate_count,0.039318286845479215,0.039318286845479215
num__cumul_shot_context_header_count_per15,-0.03924415570131023,0.03924415570131023
num__last15_pass_accuracy,-0.03793443650571347,0.03793443650571347
cat__checkpoint_H1_15,0.037213216830320285,0.037213216830320285
num__cumul_under_pressure_count,0.03459082041464781,0.03459082041464781
num__trend_shots_vs_cumul_rate,0.03389023619911658,0.03389023619911658
num__cumul_shots_on_target_per15,-0.030279105368385167,0.030279105368385167
num__last15_run_detail_top_share,0.03025229623727985,0.03025229623727985
num__cumul_applied_pressure_allowed_forward_rate_per15,0.02910933689310901,0.02910933689310901
num__cumul_shot_context_regular_count_per15,-0.02859207774908367,0.02859207774908367
num__last15_shot_context_blocked_share,0.026245845821168633,0.026245845821168633
num__last15_applied_pressure_induced_turnover_count,0.025568990190684444,0.025568990190684444
num__cumul_pass_middle_count_per15,-0.022917956917032682,0.022917956917032682
num__cumul_distance_per15,0.022876526512446746,0.022876526512446746
num__last15_applied_pressure_top_count,0.020099727732935706,0.020099727732935706
num__last15_under_pressure_backward_share,0.01997484917184084,0.01997484917184084
cat__formation_5-4-1,-0.018841195965217803,0.018841195965217803
num__last15_pass_accurate_count,0.015690183219686068,0.015690183219686068
num__cumul_pass_no_target_rate,-0.015675281326050502,0.015675281326050502
num__last15_under_pressure_turnover_rate,0.01108589004490025,0.01108589004490025
num__cumul_shots,0.01012048392714662,0.01012048392714662
num__last15_pass_unique_receivers,-0.008835059566933718,0.008835059566933718
num__cumul_pass_count,0.00588846234626096,0.00588846234626096
num__last15_shots_on_target,0.004676373906296208,0.004676373906296208
num__last15_applied_pressure_count,-0.003418372877275984,0.003418372877275984
num__cumul_under_pressure_top_count,-0.0016086780346237443,0.0016086780346237443
num__cumul_shot_context_count,-0.0014194181622424157,0.0014194181622424157
num__cumul_under_pressure_backward_share_per15,0.0008255290147631659,0.0008255290147631659
