feature,missing_rate,corr_with_target,univariate_auc,mean_positive,mean_negative
minutes_played_before_checkpoint,0.0,-0.0943973038499303,0.6124803892009015,32.860759493670884,41.34315704481227
last15_run_detail_top_share,0.0,0.09507165239532404,0.6109536852971388,0.3461846532304462,0.25274550716543703
remaining_minutes,0.0,0.08981724492498373,0.6105576365857024,46.050632911392405,37.84537747274929
remaining_windows_15,0.0,0.08981724492498368,0.6105576365857024,3.070042194092827,2.523025164849953
cumul_run_detail_mean_distance_per15,0.0,0.04120970076068304,0.6104413771252485,38.38358805063025,26.081393939752783
cumul_pass_accuracy_per15,0.0,0.06559709500351765,0.6091650782132326,0.5590805328284236,0.42797071767826894
cumul_run_detail_top_count_per15,0.0,0.10964889598851449,0.6067785653327065,3.7082867554386545,2.576382747359011
cumul_applied_pressure_induced_turnover_rate_per15,0.0,0.0716743973884533,0.6060196848985349,0.26239568284160614,0.186185766871095
cumul_pass_accurate_count_per15,0.0,-0.06206721237594301,0.6041544232253184,5.182681242807824,6.306198849020689
last15_applied_pressure_count,0.0,0.08086688096881499,0.6039896158583015,3.7278481012658227,2.7989503431570446
last15_applied_pressure_induced_turnover_count,0.0,0.08688471455023646,0.6013348119151893,1.5632911392405062,1.0896245458215583
cumul_applied_pressure_allowed_forward_count,0.0,0.06993934294543584,0.6000022996376793,2.0632911392405062,1.4715381509890997
cumul_under_pressure_turnover_count_per15,0.0,0.1158983528437341,0.5978048680774517,1.7511849964381607,1.2081953709115394
cumul_under_pressure_turnover_rate_per15,0.0,0.06981746115685172,0.596244947184988,0.27545215217724983,0.18535910828003443
cumul_pass_top_share_per15,0.0,0.08132865257328588,0.5951666726286903,0.210877263377583,0.11660638486042546
last15_applied_pressure_unique_pressed_players,0.0,0.07238445748397734,0.5948613318479378,2.240506329113924,1.7904723455793299
last15_run_detail_top_count,0.0,0.07776308767801918,0.5938660997633929,3.240506329113924,2.4045215987081145
cumul_run_detail_sprint_share_per15,0.0,0.044296264179048174,0.5937983882095021,0.1266949315208913,0.09395875052822708
last15_under_pressure_unique_pressers,0.0,0.07547118285846881,0.5884734494054159,2.2278481012658227,1.7932983447719015
cumul_under_pressure_turnover_rate,0.0,0.06688525905015001,0.5871192183276013,0.43051950254979315,0.3556726567523302
last15_under_pressure_turnover_count,0.0,0.08498218072183357,0.5848809043197416,1.5569620253164558,1.0867985466289867
