fixture_id,date,id,player_appearance_id,period,minute,stage,possession,run_type,min_speed,max_speed,distance,implied_secs_at_max,flag_speed_gt_10_3,flag_implied_duration_gt_30s,flag_known_bad_fixture,flag_reason
1161.0,2025-06-11,1323716,65576,half_1,12,middle,3753,sprint,7.01,7.77,296.3076,38.13482625482625,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323717,65576,half_1,17,bottom,3753,sprint,6.93,9.1,652.078,71.65692307692308,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323718,65576,half_1,17,top,3753,hsr,5.43,6.19,358.4556,57.90882067851373,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323720,65576,half_1,19,middle,3753,hsr,5.51,6.49,222.2348,34.242650231124806,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323722,65576,half_1,22,bottom,3753,hsr,5.48,5.91,198.9448,33.6624027072758,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323723,65576,half_1,35,middle,3753,sprint,6.95,7.75,407.7572,52.61383225806452,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323727,65576,half_1,40,middle,3753,hsr,5.49,6.46,209.1432,32.37510835913313,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323728,65576,half_1,40,middle,3753,hsr,5.44,6.2,570.6508,92.04045161290323,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323730,65576,half_2,1,bottom,3753,hsr,5.43,5.85,220.62920000000005,37.71439316239317,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323731,65576,half_2,7,middle,3753,hsr,5.4,7.21,426.544,59.16005547850208,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323732,65576,half_2,22,middle,3753,sprint,6.94,7.32,387.4972,52.93677595628415,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323735,65576,half_2,29,middle,3753,hsr,5.44,6.5,441.612,67.9403076923077,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323736,65576,half_2,34,middle,3753,hsr,5.4,6.83,951.888,139.36866764275257,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323738,65576,half_2,38,middle,3753,hsr,5.41,6.11,394.9528,64.64039279869067,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323741,65576,half_2,46,top,3753,hsr,5.43,6.86,439.1724,64.01930029154518,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323742,65576,half_2,48,bottom,3753,hsr,5.45,6.58,520.4775999999999,79.09993920972643,False,True,True,implied_duration_gt_30s; known_bad_fixture
1161.0,2025-06-11,1323743,65576,half_2,51,bottom,3752,hsr,5.44,6.69,397.1112,59.35892376681614,False,True,True,implied_duration_gt_30s; known_bad_fixture
