feature,mean_abs_shap,association_method,target_association,abs_target_association
cumul_pressures_won,0.020085103403770253,spearman,0.020912977775769954,0.020912977775769954
top_runs_per_possession,0.0194361217593,spearman,0.10092342101591031,0.10092342101591031
last15_unique_run_possessions,0.019024764285467222,spearman,0.07293323502263671,0.07293323502263671
last15_middle_hsr_count,0.01853087332856868,spearman,0.04560903001146085,0.04560903001146085
last15_peak_speed,0.017947477255412087,spearman,0.05315565597190782,0.05315565597190782
last_15_times_pressured,0.01752439216604783,spearman,0.06755178222636898,0.06755178222636898
cumul_shots_under_press,0.01700185616039055,spearman,0.06668482260681874,0.06668482260681874
last15_bottom_hsr_count,0.016694273405632887,spearman,-0.017616535976006327,0.017616535976006327
possessions_with_sprint_and_hsr,0.015936349332994367,spearman,0.05655650919569788,0.05655650919569788
cumul_middle_sprint_count,0.01577275667473189,spearman,-0.015148996760801794,0.015148996760801794
cumul_times_pressured,0.015091912618058565,spearman,-0.006815464854516773,0.006815464854516773
sprint_distance_share,0.013775762782171382,spearman,0.034098276836002694,0.034098276836002694
formation_midfielders,0.012254310966359431,spearman,-0.01071478641747653,0.01071478641747653
last15_hsr,0.012128075163102232,spearman,0.06295068942276565,0.06295068942276565
runs_per_possession,0.011573867593081275,spearman,0.05619560286695141,0.05619560286695141
sprints_per_possession,0.010843656450863508,spearman,0.03847111102166984,0.03847111102166984
possessions_with_2plus_top_runs,0.009803046320987042,spearman,0.08596673477151905,0.08596673477151905
cumul_shots_top_third,0.009553228863824153,spearman,0.0674260493592681,0.0674260493592681
cumul_shots_on_target,0.009414247368689128,spearman,0.056256968436423894,0.056256968436423894
last15_shots,0.00906147731344993,spearman,0.06826211888106268,0.06826211888106268
cumul_shots_set_play,0.008740392458236124,spearman,0.05229342107903771,0.05229342107903771
last15_middle_sprint_count,0.008378674595783758,spearman,0.002133675146913173,0.002133675146913173
last_15_shots_under_pressure,0.008322593365510477,spearman,0.06540932695888921,0.06540932695888921
checkpoint,0.008065737467202674,cramers_v,0.06472824184208503,0.06472824184208503
top_run_repeat_possession_rate,0.007053973951481112,spearman,0.08153313508117875,0.08153313508117875
last15_sprints,0.00654901485371367,spearman,0.04587973535352065,0.04587973535352065
cumul_shots_under_pressure,0.005307243325588387,spearman,0.06757327787078647,0.06757327787078647
last15_top_sprint_share,0.005273530473153553,spearman,0.08224503847899614,0.08224503847899614
last_15_pressured_succ,0.00501467356719896,spearman,0.03031224652285218,0.03031224652285218
last15_bottom_sprint_count,0.0038745205792613513,spearman,0.006447931820926761,0.006447931820926761
last15_top_sprint_count,0.003840355292354015,spearman,0.07520850268940808,0.07520850268940808
last15_top_hsr_count,0.0035752209217364507,spearman,0.0994215421948629,0.0994215421948629
last15_shots_under_press,0.0034685725341667317,spearman,0.06443646863667551,0.06443646863667551
last_15_shots_under_pressure_rate,0.0034295676913856385,spearman,0.06500637254728896,0.06500637254728896
cumul_shots_total,0.0030006403662336564,spearman,0.06708311335956843,0.06708311335956843
last15_shots_on_target,0.0027258978117253845,spearman,0.050933761636921114,0.050933761636921114
share_of_possessions_with_sprint,0.00242193108613824,spearman,0.04285808429309431,0.04285808429309431
last15_shots_top_third,0.001981266817957687,spearman,0.06879685431016341,0.06879685431016341
cumul_top_sprint_count,0.0017445412827712553,spearman,0.04684317890318511,0.04684317890318511
cumul_shots,0.0016233968240433891,spearman,0.06597392431290118,0.06597392431290118
last_15_shots_special,0.0006720277270820048,spearman,0.042103934104761084,0.042103934104761084
last_15_shots_blocked,0.00024070832242608481,spearman,0.011148355908543194,0.011148355908543194
last_15_shots_total,0.00018862271541729677,spearman,0.06966631149948055,0.06966631149948055
last_15_shots_set_play,0.0,spearman,0.0240556807003302,0.0240556807003302
